"Capacitor";"Model";"Value, uF";"Mounting Quality";"Total Mounting Inductance, nH";"Estimated ESL, nH";"Actual Resonance Frequency, MHz";"Resonant Frequency for User-Specified ESL (w/o Mounting), MHz";"Comments"
"C66";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"poorly connected";"  0.94";"N/A";"  7.56";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C67";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C67.1 to metal area"
"C68";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C68.1 to metal area"
"C69";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"poorly connected";"  0.94";"N/A";"  7.56";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C70";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C70.1 to metal area"
"C71";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C71.1 to metal area"
"C72";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"poorly connected";"  0.94";"N/A";"  7.56";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C73";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C73.1 to metal area"
"C74";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C74.1 to metal area"
"C75";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"poorly connected";"  0.94";"N/A";"  7.56";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C76";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"poorly connected";"  0.94";"N/A";"  7.56";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C78";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"poorly connected";"  0.14";"N/A";" 19.42";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C79";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"poorly connected";"  0.14";"N/A";" 19.42";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C80";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C80.1 to metal area"
"C81";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C81.1 to metal area"
"C82";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C82.1 to metal area"
"C83";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C83.1 to metal area"
"C84";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C84.1 to metal area"
